name,ring,quadrant,isNew,description
IDC Equity Tick Data,Hold,Data,FALSE,IDC is our current provider of equity tick data.  We are migrating to Reuters.
Market Surveillance 10T,Adopt,Product,FALSE,Migrate the Market Surveillance platform from ESP to Kafka.
Fixed Income Intrinsics (Kafka),Adopt,Product,FALSE,Migrate the Fixed Income waterfall pricing model into Kafka from ESP.
Fixed Income Factor Extractor (k8s),Adopt,Product,FALSE,"Introduce Fixed Income Factor Extractor on Kubernetes, where we do ALL calculations on the fly, so as to enable bespoke portfolio analysis."
Equity Factor Extractor (k8s),Adopt,Product,FALSE,"Migration of Equity Factor Extractor to Kubernetes, where we do ALL calculations on the fly, so as to enable bespoke portfolio analysis."
Equity Intrinsics (Kafka),Assess,Product,FALSE,EII Research proprietary equity intrinsic value model implemented using Kafka.
Fixed Income Intrinsic Value (ESP),Hold,Product,FALSE,EII Research proprietary fixed income intrinsic value model implemented using SAP's Event Stream Processing software (ESP).
Market Surveillance (ESP),Hold,Product,FALSE,Market Surveillance provides realtime evaluation of risk across the Global iShares ETF secondary market ecosystem.  This version is legacy and implemented using SAP's Event Stream Processing software (ESP).
iSharesResearch Web Portal,Hold,Product,FALSE,"A web portal developed to enable a one-stop-shop to iShares Research tools & collateral.  This is legacy sfotware, with outdated links."
Equity Factor Extractor (ITA),Hold,Product,FALSE,"The factor extractor is implemented w/in the ITAServer, co-mingled with legacy pre-trade and other apps. "
Equity Intrinsics (ESP),Hold,Product,FALSE,EII Research proprietary equity income intrinsic value model implemented using SAP's Event Stream Processing software (ESP) and OneTick.
Pre-Trade,Trial,Product,FALSE,Provides pre-trade analytics to clients.  This product was recently released and will need to be continually enhanced based on client feedback.
Product Management,Adopt,Techniques,FALSE,"We've seen a steep increase in interest in the topic of digital platforms over the past 12 months. Companies looking to roll out new digital solutions quickly and efficiently are building internal platforms, which offer teams self-service access to the business APIs, tools, knowledge and support necessary to build and operate their own solutions. We find that these platforms are most effective when they're given the same respect as an external product offering. Applying product management to internal platforms means establishing empathy with internal consumers (read: developers) and collaborating with them on the design. Platform product managers establish roadmaps and ensure the platform delivers value to the business and enhances the developer experience. Some owners even create a brand identity for the internal platform and use that to market the benefits to their colleagues. Platform product managers look after the quality of the platform, gather usage metrics, and continuously improve it over time. Treating the platform as a product helps to create a thriving ecosystem and avoids the pitfall of building yet another stagnant, underutilized service-oriented architecture."
User Experience,Adopt,Techniques,FALSE,Shift focus to user experinece as a first class citizen.
Proper Scrum,Adopt,Techniques,FALSE,"Scrum is a worthwhile core for the management of software development.  We should fully embrace Scrum, and not just pieces of it, else we are only granting ourselves a vaneer of competence, which is misleading and distorted."
Kubernetes,Adopt,Technology,FALSE,Kuberentes is an opensource project which originated at Google and solves the problem of deploying containers into a cluster of machines.
Microservices,Adopt,Technology,FALSE,Shift from our monolithic application deployment models towards a distributed services architecture
